tracker,factor,n,spearman_rho,spearman_p,mwu_U,mwu_p,n_success,n_failure,median_success,median_failure
CSRT,fg_bg_contrast,10,-0.527,0.1173,6.0,0.3833,7,3,0.712,0.778
CSRT,num_frames,31,0.364,0.044,138.0,0.2562,20,11,379.0,166.0
CSRT,color_entropy,31,-0.215,0.2465,87.0,0.3502,20,11,4.281,5.365
CSRT,texture_entropy,31,-0.186,0.3167,89.0,0.3973,20,11,3.826,3.914
CSRT,edge_density,31,-0.138,0.4607,105.0,0.8526,20,11,0.18,0.174
CSRT,jerk_px_mean,31,0.121,0.5154,129.0,0.445,20,11,2.084,1.945
CSRT,rot_deg_mean,31,0.117,0.531,138.0,0.2562,20,11,0.268,0.117
CSRT,zoom_abs_mean,31,0.115,0.5387,130.5,0.4087,20,11,0.004,0.002
CSRT,convex_hull_ratio,13,0.088,0.7752,16.0,0.8252,9,4,0.997,1.097
CSRT,silhouette_complexity,13,0.082,0.789,23.0,0.5035,9,4,20.787,16.81
CSRT,trans_px_p95,31,0.072,0.6996,129.0,0.445,20,11,9.947,9.553
CSRT,trans_px_mean,31,0.07,0.7092,124.0,0.5773,20,11,3.629,4.447
CSRT,inlier_frac_mean,31,-0.068,0.7173,93.0,0.4957,20,11,0.862,0.876
YOLO,color_entropy,31,-0.444,0.0123,41.5,0.5402,4,26,4.392,4.619
YOLO,inlier_frac_mean,31,0.419,0.019,51.0,0.9765,4,26,0.862,0.875
YOLO,num_frames,31,0.384,0.0328,59.0,0.7022,4,26,459.5,356.0
YOLO,silhouette_complexity,13,0.269,0.3737,14.0,0.9371,3,10,18.327,19.399
YOLO,rot_deg_mean,31,-0.253,0.1693,59.0,0.7022,4,26,0.268,0.153
YOLO,trans_px_mean,31,-0.198,0.2867,69.0,0.3277,4,26,12.658,3.844
YOLO,trans_px_p95,31,-0.198,0.2857,69.0,0.3277,4,26,29.388,9.492
YOLO,jerk_px_mean,31,-0.185,0.3199,63.0,0.5362,4,26,8.785,1.991
YOLO,convex_hull_ratio,13,-0.148,0.6286,16.0,0.9371,3,10,0.997,1.018
YOLO,texture_entropy,31,-0.103,0.5805,25.0,0.1078,4,26,3.306,3.883
YOLO,fg_bg_contrast,10,-0.103,0.777,3.0,0.2667,2,8,0.545,0.738
YOLO,zoom_abs_mean,31,-0.087,0.6411,67.5,0.3599,4,26,0.005,0.003
YOLO,edge_density,31,0.007,0.9708,37.0,0.3911,4,26,0.133,0.18
