sequence,frames,mean_iou,gt_frame,silhouette_complexity,convex_hull_ratio,texture_entropy,color_entropy,edge_density,fg_bg_contrast
Basketball,725,0.6235,1,15.9127,1.0334,3.9852,5.2137,0.1812,0.9320
Biker,142,0.2567,1,NaN,NaN,4.6292,5.8363,0.3029,NaN
Bird2,99,0.5755,1,42.4155,0.8090,2.9537,4.1404,0.1380,0.5551
BlurBody,334,0.6863,1,39.0933,0.8644,2.2057,5.0828,0.0629,0.7124
BlurCar2,585,0.8554,1,18.3266,0.9967,3.8006,3.7015,0.1492,0.3776
BlurFace,493,0.7603,1,24.8113,1.5789,3.1267,3.3470,0.0925,NaN
BlurOwl,631,0.7409,1,32.0063,0.8341,3.9453,6.0435,0.1455,0.7226
Bolt,350,0.6710,1,NaN,NaN,3.5425,6.2845,0.2440,NaN
Box,1161,0.2948,1,15.6080,1.5083,3.4023,5.8432,0.1573,0.6612
Car1,1020,0.5151,1,NaN,NaN,3.9922,-0.0000,0.2223,NaN
Car4,659,0.8634,1,NaN,NaN,2.8112,-0.0000,0.1170,NaN
CarDark,393,0.8790,1,NaN,NaN,4.4988,4.4208,0.2654,NaN
CarScale,252,0.6369,1,5.8627,3.3333,3.8701,5.4944,0.2619,NaN
ClifBar,472,0.2371,1,NaN,NaN,4.4067,-0.0000,0.3198,NaN
Couple,140,0.5819,1,NaN,NaN,4.1961,6.0165,0.2374,NaN
Crowds,347,0.6263,1,NaN,NaN,4.2661,1.8565,0.2540,NaN
David,471,0.2441,1,NaN,NaN,3.0002,4.7671,0.0000,NaN
Deer,71,0.7814,1,8.9997,1.7132,2.9684,4.8368,0.0523,0.6444
Dudek,1145,0.7917,1,NaN,NaN,2.2188,-0.0000,0.0458,NaN
Football,362,0.6979,1,NaN,NaN,4.0333,-0.0000,0.2872,NaN
Freeman4,283,0.1304,1,NaN,NaN,4.4912,-0.0000,0.3167,NaN
Girl,500,0.6132,1,NaN,NaN,3.6347,4.4715,0.2695,NaN
Human6,792,0.2314,1,28.0758,0.9528,4.1326,4.4247,0.1990,0.7776
Ironman,166,0.0868,1,12.4164,1.1901,3.8343,5.6716,0.0548,NaN
Jump,122,0.0526,1,NaN,NaN,3.4381,5.7395,0.1087,NaN
Jumping,313,0.7071,1,NaN,NaN,4.3372,-0.0000,0.2843,NaN
Liquor,1741,0.7202,1,20.7870,0.9649,3.8521,5.9571,0.1789,0.7544
Matrix,100,0.0937,1,NaN,NaN,3.9367,5.7414,0.1617,NaN
MotorRolling,164,0.0870,1,NaN,NaN,3.3366,5.3648,0.1738,NaN
Shaking,365,0.6474,1,NaN,NaN,3.6706,4.1223,0.1563,NaN
Skiing,81,0.0608,1,18.0116,1.0034,3.9136,4.1680,0.1844,0.9202
