corruption,severity,is_clean,mAP50,mAP50_95,precision,recall
motion_blur,1,True,0.6707123164715907,0.5033508772393694,0.6596702670932566,0.5932023841361901
motion_blur,5,False,0.58728817498786,0.4353389660213138,0.6244433656418787,0.5376822071148825
motion_blur,9,False,0.4236218945905284,0.2974766238998651,0.521704511731832,0.3644805916848793
motion_blur,13,False,0.26392349289762873,0.1761513121061662,0.4505740336187893,0.23567484286741866
motion_blur,17,False,0.19776792428073856,0.12613715763675806,0.4454520027001228,0.18165461730063975
motion_blur,21,False,0.15291312650425795,0.09302252036528029,0.5371672516803297,0.12339846493672424
motion_blur,27,False,0.1149506586914792,0.06776902149793962,0.48418344439818045,0.08956679985654481
gaussian_blur,0,True,0.6707123164715907,0.5033508772393694,0.6596702670932566,0.5932023841361901
gaussian_blur,1,False,0.645560352641516,0.48421042637678824,0.6595500190901015,0.5780567536851466
gaussian_blur,2,False,0.5985658659692441,0.4285735468206845,0.645282553100366,0.5390144682133693
gaussian_blur,3,False,0.477557031828002,0.33242224544489385,0.5494021231937063,0.4440398889130307
gaussian_blur,5,False,0.2503394869794048,0.16893156590373426,0.44774495186884,0.22595850604979822
gaussian_blur,7,False,0.14278298078577795,0.09200468187956483,0.4347448968275922,0.1196201904040046
gaussian_blur,9,False,0.08497067089134995,0.055085665394639244,0.5077087926639705,0.06736796037098639
brightness,0.2,False,0.598734864855816,0.4559750776749417,0.6863984465070598,0.525873993485681
brightness,0.35,False,0.6513373645063607,0.49392033196164997,0.6336815743355856,0.5933769878048142
brightness,0.5,False,0.6678437665045399,0.505287219908689,0.6970887517112455,0.5811783549367829
brightness,1.0,True,0.6707123164715907,0.5033508772393694,0.6596702670932566,0.5932023841361901
brightness,1.6,False,0.6248642885737934,0.46475158803978944,0.6963969773262276,0.5468721187222069
brightness,2.2,False,0.5492792661539199,0.4029908547669901,0.6762455112490557,0.47067841484397555
brightness,3.0,False,0.47126276944595863,0.33455347406383334,0.5980290554958062,0.42822439386839467
